GeneID,baseMean,Log2FoldChange,lfcSE ,stat ,pvalue ,padj,comparison
Csec_G00677,58.70683913,0.019405281,0.456663124,0.042493645,0.966105178,0.981526275,Target vs Sham
Csec_G00678,390.2317539,-0.909209236,0.315036253,-2.886046372,0.003901147,0.038164187,Target vs Sham
Csec_G00679,510.1109133,-0.080239072,0.24976991,-0.321251954,0.748019463,0.857677843,Target vs Sham
Csec_G00680,87.01585416,-1.045199117,0.860052135,-1.215274138,0.224261552,0.433900364,Target vs Sham
Csec_G00681,91.13909573,-1.16789317,0.754044005,-1.54883954,0.121420298,0.305615045,Target vs Sham
Csec_G00683,49.7705463,-2.219543745,0.799392284,-2.776538864,0.005494107,0.048076313,Target vs Sham
Csec_G00684,26.10909902,0.654783852,1.50028932,0.436438388,0.662518692,0.80193901,Target vs Sham
Csec_G00685,951.8834783,0.584504818,0.201670837,2.898311063,0.003751783,0.036991988,Target vs Sham
Csec_G00687,17.5581673,-1.501021274,0.957519154,-1.56761488,0.116971037,0.299634456,Target vs Sham
Csec_G00688,16.1758359,-1.19853479,1.178977894,-1.016588009,0.309349461,0.521194887,Target vs Sham
Csec_G00689,32.16021578,1.807842607,0.584127778,3.094943732,0.001968502,0.024132736,Target vs Sham
Csec_G00690,363.5603268,0.728839061,0.211128589,3.452109746,0.000556221,0.010452827,Target vs Sham
Csec_G00691,6.34183684,0.708355941,1.539922014,0.459994685,0.645520036,0.791608985,Target vs Sham
Csec_G00692,1087.309658,-0.079911496,0.32507269,-0.245826544,0.805816509,0.895679819,Target vs Sham
Csec_G00694,150.5730454,-1.000727801,1.278019932,-0.783029885,0.433609563,0.635377675,Target vs Sham
Csec_G00696,18.6874238,-1.345558781,0.903647534,-1.489030545,0.136479325,0.326143915,Target vs Sham
Csec_G00697,666.3575722,-1.175045728,0.675405174,-1.73976418,0.081900435,0.243054428,Target vs Sham
Csec_G00701,520.7211346,0.27828893,0.449073787,0.619695333,0.535458389,0.714743625,Target vs Sham
Csec_G00702,240.5275149,0.737916574,0.483257774,1.526962654,0.126770298,0.31334735,Target vs Sham
Csec_G00704,605.6867695,-0.296810118,0.203341334,-1.459664456,0.144382315,0.33654204,Target vs Sham
Csec_G00706,29.13333379,-1.476689547,0.642757012,-2.297430473,0.021594225,0.112153831,Target vs Sham
Csec_G00707,2183.291159,-0.80903715,0.47995756,-1.6856431,0.091864562,0.259102956,Target vs Sham
Csec_G00708,1247.313961,-0.467332614,0.288110066,-1.622062777,0.104789907,0.280610869,Target vs Sham
Csec_G00709,333.366475,-1.233522106,0.667013213,-1.849321845,0.064411353,0.211811969,Target vs Sham
Csec_G00710,1914.508892,-0.710642297,0.266590668,-2.665668318,0.007683546,0.059584107,Target vs Sham
Csec_G00711,343.8661568,-0.167589053,0.498985915,-0.335859285,0.736976981,0.85164505,Target vs Sham
Csec_G00719,35816.7569,1.004876999,0.259948313,3.865680022,0.00011078,0.003442155,Target vs Sham
Csec_G00722,1573.884844,0.457010975,0.601634276,0.759615922,0.447484199,0.647417347,Target vs Sham
Csec_G00723,129.2835099,0.802189239,0.935405587,0.8575844,0.391121992,0.598147238,Target vs Sham
Csec_G00724,16.71896724,1.491330598,0.930622753,1.602508206,0.109043274,0.286547658,Target vs Sham
Csec_G00725,33.68376763,-1.297022531,0.939608742,-1.380385763,0.167467901,0.366340572,Target vs Sham
Csec_G00728,14.52694017,1.764032858,1.015956818,1.73632661,0.082506101,0.243869288,Target vs Sham
Csec_G00730,43.33778762,4.969145554,1.583726035,3.137629518,0.0017032,0.022145675,Target vs Sham
Csec_G00731,1205.675809,1.540374753,0.666845385,2.309942886,0.020891316,0.109916413,Target vs Sham
Csec_G00732,6170.204735,0.766379006,0.460697325,1.663519547,0.096208481,0.266975521,Target vs Sham
Csec_G00734,302.0525961,-0.358682553,0.414559631,-0.865213411,0.386921666,0.59389962,Target vs Sham
Csec_G00736,945.9150064,-0.088930554,0.875468188,-0.101580566,0.919089606,0.956546619,Target vs Sham
Csec_G00737,157.6461652,0.996665991,0.390902492,2.549653716,0.010782996,0.073065303,Target vs Sham
Csec_G00741,7.088789537,3.102768898,1.36333006,2.275875072,0.022853488,0.116188134,Target vs Sham
Csec_G00743,10.54755854,-2.871352092,1.621279062,-1.771041246,0.076553843,0.23386368,Target vs Sham
Csec_G00744,658.3517796,0.070548436,0.297707745,0.236972121,0.812678419,0.89892123,Target vs Sham
Csec_G00745,8.65346858,0.85167278,0.898529682,0.947851581,0.343205017,0.554673881,Target vs Sham
Csec_G00746,724.2789246,0.267113561,0.278170546,0.960251059,0.336928875,0.549137495,Target vs Sham
Csec_G00747,101.3852925,0.367182238,0.674328026,0.544515761,0.586086606,0.74872235,Target vs Sham
Csec_G00748,23.90200681,-2.178050843,0.897018212,-2.428101028,0.015178115,0.090807621,Target vs Sham
Csec_G00749,243.124034,-2.22795436,0.982165537,-2.268410238,0.023304214,0.1170539,Target vs Sham
Csec_G00750,641.9511829,0.747729585,0.349367077,2.14024055,0.032335332,0.143192157,Target vs Sham
Csec_G00751,2682.672888,0.520922958,0.254467689,2.047108457,0.040647437,0.163819505,Target vs Sham
Csec_G00752,10.68907008,-0.052441083,1.096163489,-0.047840567,0.961843305,0.979283021,Target vs Sham
Csec_G00753,804.528736,-0.035507814,0.223526157,-0.158853059,0.873784645,0.933179643,Target vs Sham
Csec_G00754,2620.619909,0.532105836,0.288058011,1.847217628,0.064715606,0.212305165,Target vs Sham
Csec_G00756,993.5236636,0.488618109,0.365573144,1.336580974,0.181359453,0.383352982,Target vs Sham
Csec_G00758,264.8912997,-1.131316784,0.910898836,-1.241978515,0.214244489,0.424670269,Target vs Sham
Csec_G00759,485.6323849,-0.039172558,0.338169836,-0.115836936,0.907781777,0.950952032,Target vs Sham
Csec_G00760,409.9451296,-0.809751796,0.434002016,-1.86577888,0.062072308,0.207216594,Target vs Sham
Csec_G00761,272.0875451,-0.179055581,0.399484909,-0.448216132,0.653997221,0.79624291,Target vs Sham
Csec_G00762,55.1699538,-1.893807752,0.799207375,-2.369607452,0.01780698,0.09981155,Target vs Sham
Csec_G00763,649.9700774,-0.292052655,0.169395728,-1.724085129,0.084692476,0.247842764,Target vs Sham
Csec_G00764,508.3763203,-0.680802415,0.207522342,-3.28062226,0.001035784,0.015914212,Target vs Sham
Csec_G00765,1104.299419,-0.794909123,0.316930185,-2.50815214,0.01213644,0.07795903,Target vs Sham
Csec_G00766,7815.824203,0.719578519,0.617725027,1.164884839,0.244065611,0.455603694,Target vs Sham
Csec_G00767,45.44069124,-2.159611426,0.733567951,-2.943982795,0.00324018,0.033531847,Target vs Sham
Csec_G00768,314.5699397,0.191227609,0.290414505,0.658464386,0.510239774,0.696297129,Target vs Sham
Csec_G00770,305.1622834,-0.614444959,0.627385751,-0.979373467,0.327395482,0.538917286,Target vs Sham
Csec_G00772,691.8031385,-1.156588289,1.097449857,-1.053887138,0.291934592,0.504690244,Target vs Sham
Csec_G00773,140.9058462,-0.121669822,0.451370636,-0.269556351,0.787501584,0.883334455,Target vs Sham
Csec_G00774,37.92308785,-2.011363704,0.691434449,-2.908972364,0.003626189,0.036152182,Target vs Sham
Csec_G00775,2222.923839,-0.568305424,0.314078601,-1.809436943,0.070383148,0.222620725,Target vs Sham
Csec_G00776,58.60105882,-1.577159736,1.146605378,-1.375503523,0.168975394,0.368368713,Target vs Sham
Csec_G00778,234.796819,-1.025192199,0.336408801,-3.04745951,0.002307846,0.026659455,Target vs Sham
Csec_G00780,13.03209602,0.231554437,1.123788576,0.206048043,0.836753383,0.912431838,Target vs Sham
Csec_G00781,325.0512209,-0.674342737,0.429887628,-1.568648858,0.116729781,0.299539278,Target vs Sham
Csec_G00782,249.2980145,-1.26766297,0.945779082,-1.340337288,0.180135714,0.3821856,Target vs Sham
Csec_G00784,322.1284512,-1.028181212,0.714896898,-1.438223071,0.150370771,0.344356766,Target vs Sham
Csec_G00785,200.2910747,0.456798151,0.945743552,0.483004245,0.629092722,0.779564479,Target vs Sham
Csec_G00787,13.44170498,0.340072702,1.180626133,0.288044362,0.773312781,0.874270733,Target vs Sham
Csec_G00788,583.5066429,-0.423771377,0.314112559,-1.349106762,0.177302677,0.378677148,Target vs Sham
Csec_G00791,156.2810851,-0.410300699,1.301303876,-0.315299683,0.752534126,0.860568302,Target vs Sham
Csec_G00792,12.99207849,2.624875251,1.5540903,1.689010768,0.091217366,0.258170869,Target vs Sham
Csec_G00794,375.3147284,0.212132106,0.266437868,0.796178516,0.425928283,0.628280594,Target vs Sham
Csec_G00795,109.0217268,0.634373922,0.557525994,1.137837391,0.255188389,0.468200586,Target vs Sham
Csec_G00796,590.1648882,-0.882659462,0.463218625,-1.905492167,0.056716125,0.196535495,Target vs Sham
Csec_G00798,884.0921299,-0.118895955,0.296401387,-0.401131573,0.688323256,0.819016845,Target vs Sham
Csec_G00799,185.7363903,0.252625576,0.375593777,0.672603199,0.501199766,0.689521365,Target vs Sham
Csec_G00800,2416.337254,0.314875387,0.498272776,0.631933756,0.527430165,0.709167886,Target vs Sham
Csec_G00801,18.13509363,-0.673226844,0.812260109,-0.828831597,0.407199706,0.611165614,Target vs Sham
Csec_G00802,10.1602887,-0.754694219,1.39865419,-0.539586,0.589482574,0.75122133,Target vs Sham
Csec_G00804,1608.780885,0.132307826,0.273488594,0.483778222,0.628543272,0.779114913,Target vs Sham
Csec_G00807,1292.356089,-0.898914599,0.586069399,-1.533802312,0.125078294,0.311192211,Target vs Sham
Csec_G00813,7.952593651,7.549179848,2.521602692,2.993802263,0.002755244,0.030053285,Target vs Sham
Csec_G00814,48.77039449,-0.466106631,0.90891176,-0.512818352,0.608078391,0.765262071,Target vs Sham
Csec_G00815,644.414216,1.087862168,0.486161081,2.237657866,0.025243375,0.122995152,Target vs Sham
Csec_G00816,75.59979791,0.082125039,0.663288201,0.123815015,0.901461743,0.947243211,Target vs Sham
Csec_G00818,6.880169921,1.927995123,1.121813135,1.718641958,0.085679587,0.249564965,Target vs Sham
Csec_G00819,25.6378185,1.919480447,1.049302552,1.829291698,0.067355922,0.216915378,Target vs Sham
Csec_G00822,7.89104688,1.853172755,1.192223254,1.554384004,0.120092847,0.303491952,Target vs Sham
Csec_G00824,60.57913312,0.252631252,0.83444109,0.302755047,0.762076544,0.867275086,Target vs Sham
Csec_G00825,1097.427483,1.101415043,0.505755698,2.177761017,0.029423834,0.135557485,Target vs Sham
Csec_G00827,40.65856241,0.062564004,0.977083738,0.064031364,0.948945254,0.972556267,Target vs Sham
Csec_G00828,19.9662369,-0.992607793,0.744353646,-1.333516399,0.182362398,0.384564153,Target vs Sham
Csec_G00829,7.403047325,-5.058449133,1.636761776,-3.090522523,0.001998047,0.024331398,Target vs Sham
Csec_G00830,9.103852595,-0.244509884,1.409466337,-0.173476923,0.862276565,0.925768595,Target vs Sham
Csec_G00831,126.3056066,0.968517456,0.86898568,1.114537878,0.265048504,0.47788875,Target vs Sham
Csec_G00834,120.0709121,1.68001936,0.542269412,3.098126729,0.001947481,0.02403784,Target vs Sham
Csec_G00837,80.29122271,1.679050963,0.719258073,2.334420739,0.019573702,0.105647692,Target vs Sham
Csec_G00838,1646.950606,0.908281493,0.406303823,2.23547366,0.025386269,0.123451208,Target vs Sham
Csec_G00843,4.683116142,2.815670389,3.325873423,0.846595775,0.39722047,0.603354354,Target vs Sham
Csec_G00844,8.145842822,0.722177951,1.985273709,0.363767448,0.716031672,0.838898634,Target vs Sham
Csec_G00845,821.1496843,0.406080462,0.335879113,1.209007785,0.226659854,0.436718679,Target vs Sham
Csec_G00846,24.70585169,-2.636322699,1.362811547,-1.934473409,0.053054948,0.189327932,Target vs Sham
Csec_G00847,124.6378151,-0.885824225,0.422509138,-2.09658004,0.036030768,0.153097141,Target vs Sham
Csec_G00848,520.9072759,0.26591271,0.26685736,0.996460093,0.319026648,0.530806761,Target vs Sham
Csec_G00849,2255.393228,-2.122496912,1.042425489,-2.036113789,0.04173893,0.166397608,Target vs Sham
Csec_G00850,12.8181498,2.289530343,0.983543454,2.327838524,0.01992068,0.106586573,Target vs Sham
Csec_G00851,7.762412756,-0.162188182,1.31441444,-0.123391966,0.901796718,0.947340479,Target vs Sham
Csec_G00853,11.63020401,-0.449573021,1.154749409,-0.389325179,0.697035612,0.824667417,Target vs Sham
Csec_G00854,59.04283373,-2.437304218,0.813197137,-2.997187408,0.002724831,0.029956168,Target vs Sham
Csec_G00855,4430.443313,0.066460619,0.348599454,0.190650383,0.848799514,0.919733402,Target vs Sham
Csec_G00860,715.3135738,-1.905685669,0.48385377,-3.938557031,8.20E-05,0.002796914,Target vs Sham
Csec_G00861,1195.663011,1.667379414,0.655035646,2.545478897,0.010912796,0.073388846,Target vs Sham
Csec_G00862,367.4852505,-0.491477149,0.53044044,-0.926545398,0.354162616,0.564136395,Target vs Sham
Csec_G00863,202.5392558,-1.550273311,0.784773908,-1.975439417,0.048218303,0.179592384,Target vs Sham
Csec_G00865,437.7270348,-1.59066125,0.78743137,-2.020063348,0.043376817,0.170111025,Target vs Sham
Csec_G00866,223.6055574,-2.698290518,0.882227856,-3.058496169,0.002224509,0.026032995,Target vs Sham
Csec_G00867,727.1108995,-0.344623263,0.404635298,-0.851688581,0.39438696,0.601158066,Target vs Sham
Csec_G00868,61.10407233,-0.348412131,1.084528176,-0.321256873,0.748015736,0.857677843,Target vs Sham
Csec_G00869,1837.919136,0.352066325,0.288714266,1.219428223,0.222681703,0.432191629,Target vs Sham
Csec_G00870,518.7710357,2.990098552,0.637076206,4.693470769,2.69E-06,0.000227264,Target vs Sham
Csec_G00871,1165.330507,0.798633531,0.374102808,2.134796944,0.0327776,0.144318252,Target vs Sham
Csec_G00872,1157.354134,-0.324396288,0.16821536,-1.928458182,0.053798161,0.190645601,Target vs Sham
Csec_G00873,787.1420285,3.106765308,0.953134828,3.259523435,0.001115996,0.016695934,Target vs Sham
Csec_G00874,309.1625044,-0.620710923,0.469055336,-1.323321314,0.185728547,0.388651882,Target vs Sham
Csec_G00875,741.4217121,-0.216494866,0.456608117,-0.474137138,0.635402117,0.784510482,Target vs Sham
Csec_G00876,379.7429663,0.030650058,0.319877551,0.095818096,0.923665045,0.959606214,Target vs Sham
Csec_G00877,3.456379282,-4.1814431,1.600877165,-2.611969982,0.009002216,0.065073279,Target vs Sham
Csec_G00878,19.8135022,-1.04727312,0.82457068,-1.270082899,0.204055103,0.411196974,Target vs Sham
Csec_G00879,17.96122445,-1.013192633,1.043537749,-0.970920921,0.331587659,0.543972314,Target vs Sham
Csec_G00880,30.85845806,2.226760705,0.76157701,2.923881206,0.003456966,0.034797536,Target vs Sham
Csec_G00881,150.9158469,0.568558455,0.617609137,0.920579734,0.357269887,0.567196865,Target vs Sham
Csec_G00882,93.44516797,0.945321153,0.584960755,1.616042007,0.106085231,0.282337783,Target vs Sham
