"","AB62","AC43cAns3Q2","AC43c.Ans5Q1","AD24a.Ans1Q1","DA44A1","FA101cAR","FB56.6cQ1","FB72A3","FD39.2cQ1","FD393c","GP91c"
"G00334",166,535,273,25,432,488,56,154,489,377,565
"G00335",684,879,638,296,1376,1719,450,619,924,862,1121
"G00336",39,109,126,201,105,143,62,12,70,13,58
"G00337",116,318,102,112,237,423,31,41,249,248,579
"G00338",0,3,33,84,9,53,211,1,36,0,13
"G00339",0,0,2,0,3,3,1,0,5,1,3
"G00340",60,47,307,205,386,387,195,154,203,63,63
"G00341",1152,7191,1950,2840,1537,1256,1467,3101,4859,1680,777
"G00342",218,856,77,28,410,296,0,125,601,453,614
"G00343",1394,1595,1389,345,1637,1841,375,725,1491,1509,1771
"G00344",751,1298,288,105,507,538,116,383,952,837,1108
"G00345",555,2048,210,3,384,682,11,471,1162,971,2015
"G00346",179,218,640,239,1261,1246,316,184,383,287,453
"G00347",1113,1744,979,460,1881,2202,546,764,1845,1288,1825
"G00348",4,0,14,3,5,30,0,0,6,3,2
"G00349",0,0,0,0,0,2,0,0,0,0,0
"G00350",61,31,17,123,72,64,36,55,79,61,79
"G00351",197,668,227,12,729,526,68,149,803,645,449
"G00352",0,0,0,0,0,0,0,0,0,0,0
"G00353",0,0,3,0,0,0,0,0,0,0,0
"G00354",240,430,172,64,481,601,121,168,449,340,828
"G00355",0,0,0,0,0,0,0,0,0,0,0
"G00356",0,15,1,6,23,18,1,9,15,12,17
"G00357",42,43,85,0,56,88,29,29,25,88,41
"G00358",0,0,0,0,0,0,0,0,0,0,0
"G00359",90,388,118,14,187,421,33,56,337,185,535
"G00360",54,207,17,0,58,106,3,37,303,107,373
"G00361",129,207,31,0,49,126,0,55,259,176,280
"G00362",1136,1696,1141,245,1521,1772,377,870,1535,1389,1911
"G00363",39,119,62,1,220,335,77,46,162,114,227
"G00364",544,990,319,112,708,754,200,395,767,666,872
"G00365",0,5,0,7,0,0,23,0,0,0,0
"G00366",1249,1974,487,161,1023,1159,450,743,1611,1461,1598
"G00367",1007,1290,549,216,686,791,142,476,1079,834,1384
"G00368",41,78,27,0,37,49,0,7,88,31,118
"G00369",80,223,28,0,70,119,8,32,148,133,300
"G00370",140,306,38,0,122,90,5,117,144,151,239
"G00371",1764,3076,978,1523,1019,1334,745,3911,1908,1750,1061
"G00372",893,1686,350,103,631,902,76,482,1135,1271,1209
"G00373",2898,5638,1643,324,2432,2610,541,2323,3600,3005,5068
"G00374",0,0,0,0,0,0,0,0,0,0,0
"G00375",2147,1027,420,52,567,1042,123,442,845,1117,1420
"G00376",1361,4916,2159,2455,2558,2665,1721,3196,3677,2352,1387
"G00377",0,0,0,0,0,0,0,0,0,0,0
"G00378",6487,9711,8884,10244,8538,8778,6880,22503,7489,9151,2701
"G00379",978,1948,339,2,717,1093,31,256,1990,1364,2742
"G00380",5,30,2,18,132,129,16,4,16,39,90
"G00381",1768,2794,644,462,1228,1841,159,834,1773,2533,2668
"G00382",0,0,0,0,0,0,0,0,0,0,0
"G00383",0,2,0,0,0,0,0,0,0,0,0
"G00384",647,1016,977,483,1053,1196,601,560,853,591,930
"G00385",1064,2021,378,62,539,1262,54,1615,1317,1286,698
"G00386",234,383,547,92,218,384,46,404,409,468,196
"G00387",23,105,2,0,25,15,1,62,48,77,471
"G00388",558,1329,232,1,373,679,15,329,1139,955,2271
"G00389",911,426,2004,1979,1821,1326,1516,1852,2897,292,1844
"G00390",0,0,0,0,0,5,19,0,0,0,0
"G00391",204,702,101,7,264,921,164,111,689,420,997
"G00392",316,431,158,105,501,543,81,152,479,422,613
"G00393",0,0,0,0,0,0,0,0,0,0,0
"G00394",1243,2557,831,117,1599,2144,236,1202,2079,1567,2796
"G00395",35,64,1,0,17,42,9,45,31,6,44
"G00396",597,1070,299,141,497,776,116,456,903,969,1101
"G00397",145,91,382,129,501,502,140,104,243,148,155
"G00398",115,166,80,18,216,264,111,69,119,197,193
"G00399",806,1328,488,201,548,783,161,554,740,905,906
"G00400",193,306,284,0,290,300,116,253,353,224,259
"G00401",43,105,164,0,109,145,75,27,118,97,153
"G00402",0,0,0,0,0,0,0,0,0,0,0
"G00403",127,472,189,27,232,223,63,122,226,350,494
"G00404",26,63,29,0,37,92,24,34,33,24,10
"G00405",0,0,0,0,0,0,0,0,0,0,0
"G00406",1763,3211,1395,479,3016,3604,559,1144,3152,2760,3582
"G00407",60,123,63,19,63,102,0,15,116,75,134
"G00408",88,125,32,55,169,342,27,30,172,106,290
"G00409",754,1271,374,38,693,1011,115,545,1178,1044,1512
"G00410",491,847,182,61,284,624,54,218,580,568,834
"G00411",2197,1954,1612,220,1451,2877,663,811,1262,1961,2153
"G00412",10,13,89,74,110,172,70,36,33,106,21
"G00413",0,0,8,0,64,0,0,0,3,2,0
"G00414",82,34,65,24,59,43,66,40,58,48,33
"G00415",8,15,28,16,37,47,42,1,20,20,52
"G00416",791,758,1577,162,1074,2005,1285,622,2177,807,873
"G00417",0,0,0,0,0,0,0,0,0,0,0
"G00418",677,1134,332,70,550,729,77,361,843,935,1446
"G00419",111,203,50,22,77,104,15,110,145,160,255
"G00420",653,766,1780,1050,1712,1641,529,588,1151,642,663
"G00421",154,125,246,5,269,351,49,126,181,167,241
"G00422",1590,1142,1424,2032,2218,1309,2095,3409,1299,1192,909
"G00423",1,2,0,18,8,19,19,0,5,4,4
"G00424",15,31,22,0,5,10,0,0,0,17,27
"G00425",0,0,0,0,0,0,0,0,2,0,0
"G00426",341,659,327,128,497,620,123,183,479,426,599
"G00427",48,106,3,0,116,89,30,75,84,88,83
"G00428",3,1,12,1,32,17,4,3,1,6,5
"G00429",909,2240,1758,785,1294,1243,210,549,1843,1208,1544
"G00430",0,0,0,0,0,0,0,0,0,0,0
"G00431",0,0,0,0,0,0,0,0,0,0,0
"G00432",63,110,16,0,72,85,0,77,60,60,91
"G00433",776,941,1233,382,1555,1860,485,423,1005,816,1281
"G00434",0,3,0,0,12,3,0,4,3,1,1
"G00435",474,515,267,179,603,771,190,304,448,366,595
"G00436",77,171,76,0,198,309,24,41,172,93,107
"G00437",0,0,0,0,0,0,0,0,2,0,0
"G00438",219,448,147,31,496,714,112,144,308,253,626
"G00439",519,836,142,0,259,419,8,294,630,604,666
"G00440",1262,1681,1288,557,2491,2673,846,892,2082,1787,2356
"G00441",151,185,128,0,234,346,64,30,222,155,398
"G00442",2,0,2,0,2,7,1,0,1,1,0
"G00443",62,143,34,0,48,45,0,7,96,88,187
"G00444",0,1,0,0,0,0,0,0,1,5,0
"G00445",339,850,192,47,282,370,93,229,517,429,631
