"","AB62","AC43cAns3Q2","AC43c.Ans5Q1","AD24a.Ans1Q1","DA44A1","FA101cAR","FB56.6cQ1","FB72A3","FD39.2cQ1","FD393c","GP91c"
"G04269",1194,1670,2397,450,3104,4477,2583,530,1787,1530,1765
"G04270",103,138,194,191,1160,985,161,153,187,275,265
"G04271",0,0,0,0,0,0,0,0,0,0,0
"G04272",227,498,74,0,173,363,0,56,534,387,547
"G04273",0,0,0,0,0,0,0,0,0,0,0
"G04274",0,8,5,0,4,2,1,0,2,4,0
"G04275",73,55,51,12,110,106,68,71,89,71,59
"G04276",23,18,0,0,23,31,0,11,19,44,51
"G04277",2,0,0,0,0,0,0,6,17,1,2
"G04278",1,7,22,0,20,9,0,9,10,8,2
"G04279",0,0,0,0,0,1,0,0,0,0,1
"G04280",0,4,0,0,0,1,0,0,0,0,6
"G04281",0,7,12,0,3,2,0,12,7,4,2
"G04282",5,19,0,32,5,8,0,0,4,4,10
"G04283",1934,2812,961,234,1484,1856,444,856,1133,1383,2140
"G04284",3837,9465,4012,746,1874,3088,461,5047,6073,4991,7266
"G04285",49,162,30,0,47,70,0,19,97,76,204
"G04286",894,1017,74,25,301,188,9,258,599,829,546
"G04287",0,1,0,0,18,22,0,1,0,9,1
"G04288",126,91,386,269,797,592,266,176,300,219,324
"G04289",211,444,3572,732,347,885,540,218,797,194,380
"G04290",0,0,0,0,0,0,0,0,0,0,0
"G04291",2,36,12,0,13,24,0,10,28,10,38
"G04292",18,91,11,3,22,38,6,20,40,99,30
"G04293",5,2,10,31,14,1,0,1,14,5,0
"G04294",6917,13822,1496,8,2384,5362,114,3288,7799,9402,11904
"G04295",75,91,548,171,279,236,229,115,124,77,108
"G04296",12,15,85,0,61,40,129,5,109,31,36
"G04297",15,59,57,36,68,249,18,49,39,19,35
"G04298",0,4,0,0,0,0,10,0,0,0,0
"G04299",0,0,0,0,0,0,0,0,0,0,0
"G04300",0,1,0,0,0,0,4,6,1,0,0
"G04301",796,1395,846,227,1069,1242,310,482,1174,1256,1254
"G04302",20,11,20,7,58,79,38,2,32,3,20
"G04303",174,447,142,5,192,314,44,168,369,385,425
"G04304",56,137,37,7,136,147,33,21,102,107,235
"G04305",6410,5461,8796,2856,8942,10639,3534,4784,7384,6125,6504
"G04306",1120,1397,1066,517,1847,2232,507,535,1630,1199,2213
"G04307",392,938,451,112,570,774,241,464,724,514,824
"G04308",0,0,0,0,1,0,0,1,0,0,1
"G04309",2319,4589,590,53,1045,1762,75,965,2606,2719,5539
"G04310",0,3,0,0,5,12,1,2,0,0,8
"G04311",38,191,62,1,70,94,43,66,110,55,133
"G04312",1266,1394,1164,1136,1253,1849,852,1756,1439,1278,1426
"G04313",628,1456,737,405,1446,1253,290,486,965,782,1044
"G04314",273,466,524,75,1085,1630,373,151,705,541,1316
"G04315",94,188,148,94,432,454,207,50,307,193,352
"G04316",404,633,418,45,754,799,75,382,700,804,584
"G04317",127,236,114,0,259,365,109,115,302,199,448
"G04318",317,128,444,168,369,690,301,222,429,171,289
"G04319",51,39,44,30,96,69,83,80,67,65,96
"G04320",96,1,43,16,24,36,2,10,24,55,7
"G04321",10,11,8,5,41,45,0,9,32,6,13
"G04322",718,1011,625,453,987,1607,396,863,1173,924,1194
"G04323",159,204,139,159,170,211,26,118,77,162,104
"G04324",281,282,275,74,534,593,285,239,341,353,306
"G04325",0,0,0,0,0,0,0,0,0,0,0
"G04326",3703,4771,961,1,1371,2988,39,1888,3955,3827,4341
"G04327",0,8,0,0,0,0,0,0,1,1,3
"G04328",0,0,0,0,0,3,0,0,0,1,3
"G04329",0,10,0,0,0,15,0,1,7,5,3
"G04330",0,3,0,0,2,9,0,0,16,3,9
"G04331",62,75,510,93,586,2242,148,58,208,82,105
"G04332",8,6,17,0,18,11,0,2,14,9,6
"G04333",32,200,15,0,90,190,0,20,97,121,357
"G04334",24,29,4,32,53,130,55,9,18,46,86
"G04335",12,3,0,0,0,0,0,0,13,13,5
"G04336",768,961,704,242,1092,1315,302,479,913,647,985
"G04337",5,49,82,0,51,53,67,4,38,16,60
"G04338",0,0,0,0,0,0,0,0,0,0,0
"G04339",313,425,558,379,815,822,426,343,567,430,669
"G04340",0,0,0,0,0,0,0,0,0,0,0
"G04341",0,0,0,0,0,0,0,0,0,0,0
"G04342",636,810,1077,313,1281,1112,321,368,874,940,1445
"G04343",164,334,186,99,160,189,41,52,320,109,229
"G04344",326,927,113,0,203,428,0,278,742,739,489
"G04345",236,1087,160,7,242,411,0,180,857,590,1222
"G04346",0,0,0,0,2,0,0,0,3,0,0
"G04347",4,9,3,0,13,1,0,9,3,5,23
"G04348",0,0,1,0,1,0,0,0,0,0,0
"G04349",2,2,0,0,3,7,0,9,3,6,10
"G04350",0,1,3,0,0,6,8,1,5,0,22
"G04351",0,5,3,0,0,0,0,0,0,3,11
"G04352",71,269,130,214,86,142,14,44,223,198,76
"G04353",13,42,59,51,52,67,19,18,9,80,12
"G04354",107,203,145,22,234,297,39,53,256,261,359
"G04355",9,62,95,0,52,97,16,3,67,23,48
"G04356",3,0,10,0,13,22,0,4,3,10,9
"G04357",58,114,20,0,92,101,3,138,59,138,97
"G04358",194,265,214,25,152,196,87,119,260,124,335
"G04359",0,0,0,0,0,0,0,0,0,0,0
"G04360",0,0,2,0,11,1,0,0,4,9,5
"G04361",72,187,34,39,171,307,49,84,154,205,359
"G04362",0,0,0,0,0,0,0,0,0,0,0
"G04363",473,621,444,128,509,535,129,302,636,508,669
"G04364",32,68,60,34,242,399,11,96,202,179,125
"G04365",0,0,0,0,0,0,0,0,0,0,0
"G04366",0,0,0,0,0,0,0,0,0,0,0
"G04367",47,97,33,1,52,96,9,24,23,350,120
"G04368",161,282,921,463,1232,1674,445,524,661,285,90
"G04369",25,29,162,138,900,375,22,51,172,65,40
"G04370",489,611,156,64,455,434,112,309,347,457,534
"G04371",4,7,2,0,52,4,22,2,10,11,19
"G04372",378,615,296,329,1877,1624,210,272,651,1199,910
"G04373",0,0,0,0,7,0,0,0,0,2,0
"G04374",10,8,17,0,17,69,22,33,26,20,39
"G04375",9,27,0,0,3,4,7,11,22,8,5
"G04376",0,0,0,0,0,0,0,0,0,0,0
"G04377",245,39,68,108,264,474,116,296,110,242,110
"G04378",0,0,0,0,0,0,0,0,0,0,0
"G04379",16,10,65,2,26,38,38,20,20,16,12
"G04380",881,993,1233,350,1181,980,406,829,1289,1242,893
"G04381",33,128,85,11,264,282,4,30,165,83,227
"G04382",1076,2497,1980,495,5074,4960,1406,932,2494,1819,3053
"G04383",33,101,484,363,642,494,135,980,639,406,60
"G04384",0,6,19,0,0,5,0,7,799,168,38
"G04385",60,56,449,82,74,152,73,38,93,76,35
"G04386",25,50,318,0,283,74,74,14,142,46,21
"G04387",200,236,1349,353,406,752,354,234,588,271,297
"G04388",130,308,90,0,185,250,40,141,241,368,267
"G04389",0,0,0,0,0,0,0,0,0,0,0
"G04390",0,0,0,0,0,0,0,0,0,0,0
"G04391",19,43,16,9,21,41,12,13,39,42,83
"G04392",228,249,112,35,127,237,29,123,233,158,222
"G04393",257,334,372,74,599,789,206,187,391,397,685
"G04394",695,1331,682,134,1157,1492,327,479,1376,1009,1769
"G04395",0,0,0,0,0,0,0,0,0,0,0
"G04396",59,28,139,1040,80,113,189,106,30,62,23
"G04397",12,6,8,0,75,23,21,7,11,12,62
"G04398",86,144,153,80,111,237,160,59,182,126,73
"G04399",0,0,0,0,0,0,0,0,0,0,2
"G04400",0,0,0,0,0,0,0,0,0,0,0
"G04401",998,1828,1377,1354,1110,1491,1329,2395,1553,1177,798
"G04402",273,378,359,288,285,321,105,299,301,222,233
"G04403",1546,2037,1195,1142,2348,2227,974,1370,1785,1409,2024
"G04404",2789,3698,2854,1333,4079,5451,1500,2265,3766,3400,3399
"G04405",202,548,195,22,299,312,22,140,297,320,338
"G04406",186,165,619,443,1856,1497,273,150,540,400,746
"G04407",603,484,507,388,2603,3020,1267,483,542,771,1120
"G04408",1221,1432,393,7,771,823,51,707,1406,1567,2368
"G04409",7,3,14,0,7,7,1,7,2,2,1
"G04410",396,695,277,108,420,576,114,187,520,573,799
"G04411",297,454,152,1,210,292,20,175,307,312,292
"G04412",407,645,164,90,321,544,24,366,461,416,861
"G04413",0,0,0,0,0,0,0,0,0,0,0
"G04414",189,320,121,16,152,266,11,44,378,395,680
"G04415",87,376,24,13,152,130,212,98,243,72,151
"G04416",1248,2034,965,356,1319,1487,332,1008,1537,1350,1955
"G04417",361,909,402,69,500,603,99,339,617,566,548
"G04418",0,0,0,0,0,0,0,0,2,1,0
"G04419",81,113,27,0,32,85,0,10,104,59,154
"G04420",492,805,861,431,957,1109,431,471,837,792,932
"G04421",0,0,0,0,0,0,0,0,0,0,0
"G04422",468,510,387,121,616,816,268,275,525,397,834
"G04423",2270,3463,4177,3399,4555,6189,2334,2435,3097,2959,3179
"G04424",0,0,0,0,0,0,0,0,0,0,0
"G04425",214,594,191,111,461,610,109,65,586,567,1067
"G04426",51,97,27,0,73,60,19,12,68,34,69
"G04427",28,8,25,17,40,29,0,33,20,16,28
"G04428",5,6,11,29,23,24,0,0,10,14,11
"G04429",1614,2076,1280,469,2496,2972,538,1088,2022,1726,2497
"G04430",2,2,0,0,8,1,0,2,2,0,1
"G04431",486,372,768,195,1211,1002,428,339,535,524,770
"G04432",0,0,0,0,0,0,0,0,0,0,0
"G04433",814,1284,372,10,698,981,40,607,1545,1204,1535
"G04434",0,0,0,0,0,0,0,0,0,0,0
"G04435",974,1556,683,149,1941,1966,496,423,1267,1321,1807
"G04436",15,0,41,19,32,45,28,23,18,28,19
"G04437",4,4,36,30,27,19,0,7,4,17,4
"G04438",138,181,224,463,370,639,273,268,251,214,397
"G04439",89,168,36,22,167,221,0,60,128,105,209
"G04440",0,1,0,0,0,0,0,0,5,0,0
"G04441",132,398,81,0,331,513,18,41,315,229,630
"G04442",9,34,32,25,51,12,316,10,14,16,10
"G04443",1134,1838,845,131,991,1566,141,581,1395,1574,2403
"G04444",4,15,9,34,0,5,7,3,7,7,16
"G04445",2515,3219,2347,2292,2256,3017,1200,4865,2929,2556,2680
"G04446",613,361,375,256,426,624,209,352,350,418,562
"G04447",64,103,602,86,79,309,64,56,230,244,206
"G04448",0,3,30,0,1,3,0,1,74,13,2
"G04449",31,43,14,0,1,10,0,19,9,13,9
"G04450",1,57,5,0,2,14,0,9,17,6,11
"G04451",53,110,124,59,113,148,17,46,118,110,52
"G04452",0,0,0,0,0,0,0,0,0,0,0
"G04453",17,24,25,0,34,69,26,3,44,25,16
"G04454",115,146,240,82,184,134,63,61,215,214,194
"G04455",1067,1974,1593,748,2909,3618,916,956,1894,1547,2205
"G04456",0,0,0,0,0,0,0,0,0,0,0
"G04457",304,1094,290,89,1042,1894,169,185,1141,1023,1807
"G04458",173,487,291,47,677,877,90,123,475,395,865
"G04459",699,1082,805,305,1566,1974,473,633,1035,921,1181
"G04460",2063,3140,2753,809,4965,7361,1335,1253,3320,2245,3761
"G04461",625,787,888,259,1314,1518,470,560,838,710,1158
"G04462",56,110,0,30,33,38,0,17,86,64,104
"G04463",425,751,516,280,983,763,724,361,716,559,663
"G04464",456,842,462,43,758,831,165,240,813,648,1048
"G04465",48,119,69,0,93,151,16,16,138,62,166
"G04466",0,0,0,0,3,0,0,0,0,0,0
"G04467",569,858,1079,210,1060,1191,455,435,890,571,1009
"G04468",0,0,0,0,0,0,0,0,0,0,0
"G04469",1230,1934,3536,1028,6823,2510,1649,722,1942,936,2374
"G04470",1,1,0,0,0,0,0,0,2,0,0
"G04471",247,367,800,522,383,355,138,106,307,201,323
"G04472",20,33,13,0,30,45,0,6,47,15,57
"G04473",691,958,1079,668,4765,6854,1464,621,1736,1537,1714
"G04474",400,728,369,84,727,954,218,335,748,555,918
"G04475",946,1881,2901,621,4169,4805,987,443,2576,1929,2732
"G04476",939,1401,924,288,1033,1813,451,459,1347,1065,1942
"G04477",168,224,193,21,200,460,31,83,244,224,545
"G04478",707,1191,562,184,866,954,173,606,991,1024,929
"G04479",0,0,0,0,0,0,0,0,0,0,0
"G04480",378,810,254,0,261,459,61,230,492,290,516
"G04481",2823,4115,2749,818,3677,4504,1347,1815,3264,3810,4675
"G04482",34,179,22,0,50,47,19,36,148,39,29
"G04483",0,86,11,0,24,35,0,4,55,22,10
"G04484",89,348,262,38,156,258,890,45,287,166,175
"G04485",0,51,13,15,20,19,18,0,35,23,6
"G04486",2,16,9,7,17,45,1,3,9,5,21
"G04487",848,1049,549,168,1364,1964,373,423,1174,1049,1574
"G04488",259,628,106,33,264,401,17,122,333,373,753
"G04489",1399,1121,954,77,963,2378,314,415,898,253,2219
"G04490",658,1518,732,105,1267,2076,183,236,1518,1252,1924
"G04491",1329,1548,964,447,1356,2367,459,939,1417,1378,2046
"G04492",5,18,13,16,122,103,27,17,14,13,4
"G04493",412,463,708,388,1192,1082,511,333,698,605,750
"G04494",22,33,0,0,4,2,0,0,20,17,28
"G04495",14,48,12,0,7,14,0,5,26,17,31
"G04496",390,507,130,1,206,326,14,188,347,232,536
"G04497",79,327,110,38,324,437,56,101,214,235,180
"G04498",0,0,0,0,0,0,0,0,0,0,0
"G04499",50,198,10,0,40,166,5,24,71,136,38
"G04500",66,496,67,16,66,168,10,65,200,229,141
"G04501",0,2,16,0,59,53,8,0,15,8,7
"G04502",397,653,110,14,341,403,16,122,519,422,731
"G04503",0,0,0,0,0,0,0,0,0,0,0
"G04504",459,5,26,0,5,8,0,1,100,652,7
"G04505",51,332,149,70,278,114,34,18,89,166,97
"G04506",296,342,1738,1263,4998,2843,836,663,826,793,642
"G04507",0,0,0,0,0,0,0,0,0,0,0
"G04508",567,1491,821,340,1591,1940,332,430,1403,1236,1659
"G04509",0,0,0,0,0,0,0,0,0,0,0
"G04510",0,0,0,0,0,0,0,0,0,0,0
"G04511",0,0,0,0,0,0,0,0,0,0,0
"G04512",0,0,0,0,0,0,0,0,0,0,0
"G04513",945,1655,528,316,1123,1311,196,547,1209,1052,1497
"G04514",6,5,8,81,1,0,6,87,0,0,1
"G04515",1912,4396,1404,199,1421,2874,102,1761,2706,3394,3667
"G04516",0,0,0,0,0,0,0,0,0,0,0
"G04517",0,0,0,0,0,0,0,0,0,0,0
"G04518",0,0,0,0,0,0,0,0,0,0,0
"G04519",0,0,0,0,0,0,0,0,0,0,0
"G04520",21,97,4,1,53,59,45,27,79,74,235
"G04521",0,0,0,0,0,0,0,0,0,0,0
"G04522",275,439,150,60,238,319,18,141,294,393,636
"G04523",263,479,93,16,171,169,9,153,355,307,652
"G04524",718,1164,400,24,612,939,152,361,859,834,1273
"G04525",0,0,0,0,0,0,0,0,0,0,0
"G04526",198,279,114,3,310,248,27,182,210,251,297
"G04527",37,0,0,90,0,0,0,83,0,8,46
"G04528",34,9,8,11,31,29,66,14,18,10,168
"G04529",143,12,20,1363,3,13,35,155,8,166,1335
"G04530",172,144,96,1,341,258,16,107,218,222,1183
"G04531",18,5,4,0,88,73,0,9,18,11,30
"G04532",2006,2977,2230,1324,5500,6244,1746,1188,2875,2235,4144
"G04533",0,0,0,0,0,0,0,0,0,0,0
"G04534",0,0,0,0,0,0,0,0,0,0,0
"G04535",0,0,0,0,0,0,0,0,0,0,0
"G04536",0,7,0,0,1,4,0,0,9,7,25
"G04537",199,211,494,476,1406,697,361,607,306,474,213
"G04538",103,148,50,0,50,54,0,53,87,102,182
"G04539",67,67,65,44,201,319,66,26,42,56,87
"G04540",1921,2891,772,119,1111,1720,222,968,1903,1851,2901
"G04541",1079,1615,824,70,782,1158,114,589,1121,1300,1375
"G04542",839,1235,938,257,1253,943,366,1537,1124,927,1391
"G04543",373,581,178,13,170,231,10,254,357,489,568
"G04544",151,21,18,363,214,269,171,376,43,229,4989
"G04545",50,183,7952,1363,400,609,496,194,7220,643,138
"G04546",229,153,3630,616,2503,1443,505,255,637,512,158
"G04547",462,478,194,192,437,617,115,141,393,287,513
"G04548",985,975,796,249,1040,1315,319,646,975,913,997
"G04549",1969,2499,1892,600,2464,3908,903,765,2396,2165,3665
"G04550",2391,6350,4508,5470,2578,3068,4944,7063,5030,2707,1644
"G04551",1059,2372,1046,1220,1229,1559,1023,1390,1740,1411,1667
"G04552",272,744,293,94,638,673,77,125,603,381,814
"G04553",0,0,0,0,2,0,0,0,0,0,0
"G04554",0,0,0,0,0,0,0,0,0,0,0
"G04555",0,0,0,0,0,1,0,0,0,0,0
"G04556",284,755,52,50,214,300,21,164,400,268,556
"G04557",140,327,202,171,416,333,122,98,311,181,377
"G04558",0,0,0,0,0,0,0,0,0,0,0
"G04559",0,0,0,0,0,0,0,0,0,0,0
"G04560",119,46,1591,4560,1212,1107,426,508,287,236,2511
"G04561",0,0,0,0,0,0,0,0,0,0,0
"G04562",253,540,1124,94,464,1051,87,26,1362,860,2453
"G04563",0,5,0,5,6,7,8,6,4,3,3
"G04564",27,16,43,55,21,53,32,4,235,104,13
"G04565",28,7,83,18,13,74,0,1,163,15,57
"G04566",0,0,0,0,0,0,0,0,0,0,0
"G04567",3460,3928,8357,1392,4180,5777,3524,1976,4613,3492,5548
"G04568",493,1123,908,150,1539,1727,241,472,1052,873,1437
"G04569",102,187,177,45,149,208,53,102,149,156,203
"G04570",1,2,2,0,0,5,2,0,1,0,0
"G04571",0,0,0,0,0,0,0,0,0,0,0
"G04572",1473,1520,2027,957,2876,4315,2227,1097,2019,1654,2673
"G04573",276,576,126,79,257,318,63,190,405,300,378
"G04574",55,144,34,0,107,163,8,43,134,130,232
"G04575",381,307,181,0,291,377,28,233,344,409,630
"G04576",0,0,3,0,2,3,0,0,2,0,0
"G04577",597,736,364,105,595,797,100,411,1004,675,596
"G04578",0,0,0,0,0,0,0,0,0,0,0
"G04579",66,95,448,203,271,302,98,153,197,129,134
"G04580",0,0,0,0,0,0,0,0,0,0,0
"G04581",1272,2276,1185,158,1868,2521,826,449,2199,1361,2262
"G04582",285,567,150,9,312,424,75,149,367,379,670
"G04583",111,155,296,174,168,239,189,122,168,196,272
"G04584",96,306,82,0,342,446,40,40,249,298,181
"G04585",0,0,0,0,0,0,0,0,0,0,0
"G04586",566,470,226,125,554,705,47,331,606,552,667
"G04587",325,453,191,40,309,433,22,62,414,437,713
"G04588",0,9,4,0,0,4,0,0,0,1,5
"G04589",0,0,0,0,0,0,0,0,0,0,0
"G04590",0,44,0,0,0,0,0,0,10,5,3
"G04591",0,0,0,0,0,0,0,0,0,0,0
"G04592",0,0,2,0,2,1,0,0,3,0,0
"G04593",1,4,0,0,2,10,0,0,3,1,0
"G04594",491,603,96,0,147,251,0,261,491,637,585
"G04595",193,193,77,170,120,151,88,94,132,76,158
"G04596",0,0,0,0,0,0,0,0,0,0,0
"G04597",0,0,0,0,3,1,1,0,0,1,5
"G04598",0,0,4,0,0,0,0,0,0,0,0
"G04599",0,0,0,0,0,0,0,0,0,0,0
"G04600",0,0,0,0,0,0,0,0,0,0,0
"G04601",6,50,38,0,29,88,8,30,63,87,121
"G04602",395,356,171,2,208,265,76,183,254,312,517
"G04603",211,435,247,123,630,954,45,89,385,340,704
"G04604",8,94,17,0,148,231,54,30,64,82,195
"G04605",2203,2440,1452,483,2038,2282,874,1333,2022,2046,2773
"G04606",0,0,0,0,0,0,0,0,0,0,0
"G04607",0,0,10,0,3,18,0,10,4,2,42
"G04608",0,0,17,0,0,0,17,0,0,0,0
"G04609",404,608,326,137,307,506,146,230,230,282,283
"G04610",777,1130,375,122,1587,824,212,464,1058,973,1445
"G04611",92,15,4,20,1,13,12,10,5,1,3
"G04612",2,0,76,0,0,14,0,5,9,3,5
"G04613",187,321,730,517,1369,3177,450,207,333,434,1210
"G04614",0,0,0,0,0,1,0,0,0,0,0
"G04615",0,0,0,0,1,0,0,0,0,0,0
"G04616",0,0,0,0,0,0,0,0,0,0,0
"G04617",0,0,0,0,0,0,0,0,0,0,0
"G04618",717,1572,605,411,2483,2040,460,720,1358,1167,2120
"G04619",178,242,211,51,460,417,77,80,227,176,308
"G04620",322,704,117,78,162,273,42,151,564,294,561
"G04621",0,0,0,0,0,0,0,0,0,0,0
"G04622",40,57,32,0,76,101,15,8,53,46,43
"G04623",1517,1436,2065,743,1852,1710,1363,1193,1483,1252,1731
"G04624",292,307,332,50,580,340,45,157,328,204,501
"G04625",169,357,55,0,206,269,36,114,271,240,466
"G04626",0,0,0,0,0,0,0,0,0,0,0
"G04627",467,628,365,183,587,765,193,337,513,477,645
"G04628",0,1,7,0,18,12,25,1,3,12,0
"G04629",989,1828,1029,119,2010,2554,511,695,1859,1528,2451
"G04630",933,2865,812,794,995,1225,686,2399,1660,1912,987
"G04631",0,0,0,0,0,0,0,0,0,0,0
"G04632",102,211,130,49,306,381,30,65,225,224,323
"G04633",2,14,3,0,8,13,23,4,6,3,20
"G04634",270,398,223,56,299,401,106,116,397,326,552
"G04635",1037,1414,875,126,1654,2190,582,547,1487,1293,2076
"G04636",827,1350,946,224,1351,1799,470,608,1419,915,1158
"G04637",2,1,11,2,19,26,1,10,21,7,151
"G04638",3923,2783,5621,2491,11827,8144,4484,2708,5686,3723,6397
"G04639",0,18,33,0,86,97,16,0,11,7,19
"G04640",364,674,343,138,466,882,115,213,555,477,1114
"G04641",2482,3921,1166,104,1603,1934,186,1644,2323,2672,3019
"G04642",0,0,0,0,0,0,0,0,0,0,0
"G04643",0,0,0,0,0,0,0,0,0,0,0
"G04644",90,251,113,105,540,753,318,82,193,154,559
"G04645",0,0,0,0,0,0,0,0,0,0,0
"G04646",63,81,26,0,69,64,10,108,106,62,46
"G04647",25,62,54,25,138,207,28,61,67,77,108
"G04648",207,139,99,0,149,163,27,40,186,180,294
"G04649",16,20,0,0,11,20,0,3,31,20,21
"G04650",59,18,73,7,51,42,9,58,61,1576,38
"G04651",7,11,11,0,29,24,0,1,7,166,11
"G04652",621,1280,717,59,1217,1141,308,606,1020,861,1189
"G04653",0,0,0,0,0,0,0,0,0,0,0
"G04654",540,1777,859,541,1349,1981,1012,665,1482,1256,1437
"G04655",1418,2841,669,76,1217,1627,130,874,1993,2114,2801
"G04656",22,43,12,0,22,52,0,14,25,18,63
"G04657",32,40,18,0,16,47,0,4,28,17,42
"G04658",220,531,412,336,1473,2331,238,86,676,384,1128
"G04659",716,1161,597,300,876,1004,254,494,997,855,819
"G04660",0,0,0,0,0,0,0,0,0,0,0
"G04661",1068,1960,2131,675,3207,4869,1384,524,1851,2141,2295
"G04662",994,822,2416,736,1051,1219,359,1463,1593,1298,1953
"G04663",95,216,126,30,243,240,107,50,149,125,267
"G04664",953,401,1297,25,971,990,2024,443,1059,1171,1328
"G04665",717,2098,1188,505,2703,1788,221,704,1474,1276,1108
"G04666",164,78,805,278,1067,1284,616,227,313,254,222
"G04667",75,349,68,0,120,166,0,16,183,287,482
"G04668",3036,5370,23911,4630,8598,7947,5210,5802,10698,5335,5309
"G04669",405,322,472,85,480,589,106,178,532,431,460
"G04670",2367,3761,1517,894,2218,2845,1152,2137,3163,2512,3219
"G04671",0,0,0,0,0,0,0,0,0,0,0
"G04672",89,17,103,41,288,427,64,28,57,43,62
"G04673",586,949,278,376,474,687,227,612,726,778,842
"G04674",0,5,81,6,36,20,47,29,16,18,2
"G04675",0,0,32,9,30,24,20,5,4,14,0
"G04676",566,954,222,80,464,630,109,282,605,565,991
"G04677",770,953,671,475,851,1211,319,700,876,1073,1100
"G04678",14,20,46,17,101,94,19,6,18,29,24
"G04679",174,415,274,101,876,995,168,101,530,508,536
"G04680",23,27,15,16,41,63,5,1,21,28,29
"G04681",64,103,7,0,71,82,0,25,58,39,50
"G04682",33,39,12,0,42,48,30,11,35,23,36
"G04683",45,83,5,9,58,80,19,15,42,34,72
"G04684",402,345,170,27,226,338,86,140,450,370,521
"G04685",77,189,69,11,76,129,38,43,119,124,228
"G04686",157,447,121,19,322,513,18,132,282,218,634
"G04687",445,947,185,48,570,622,49,202,344,495,633
"G04688",18,48,4,11,39,83,0,5,27,25,50
"G04689",934,1665,1743,451,2572,2915,888,890,1694,1453,2064
"G04690",312,531,154,66,294,426,18,136,327,355,562
"G04691",83,257,57,0,249,338,5,31,216,174,379
"G04692",14,10,9,0,1,2,0,16,16,8,3
"G04693",503,1150,484,134,1153,1657,74,182,1047,1046,2022
"G04694",0,0,0,0,0,0,0,0,0,0,0
"G04695",160,461,172,38,451,580,75,88,414,315,426
"G04696",209,999,173,101,286,442,86,684,632,504,430
"G04697",22699,30719,20157,7816,25516,32964,6863,13790,25985,19355,30741
"G04698",0,0,0,0,0,0,0,0,0,0,0
"G04699",0,2,0,0,0,0,0,0,0,0,0
"G04700",5,0,0,0,0,3,0,0,0,1,1
"G04701",0,0,19,0,4,2,22,8,2,0,0
"G04702",199,383,201,37,315,332,46,159,233,220,511
"G04703",0,0,0,0,0,4,0,0,0,0,0
"G04704",0,0,9,1,4,4,0,0,1,0,0
"G04705",123,226,309,208,854,745,258,146,295,419,165
"G04706",0,4,2,0,7,2,28,9,0,3,0
"G04707",1182,2491,1029,449,2413,1937,638,842,1842,1317,1773
"G04708",1,3,35,0,11,17,0,8,28,20,4
"G04709",22115,2164,13351,75,305,11413,240,16155,14666,4220,12013
"G04710",185,410,158,36,313,366,60,102,226,109,222
"G04711",0,0,0,0,0,0,0,0,0,0,0
"G04712",165,238,23,0,106,158,7,24,237,107,438
"G04713",32,7,6,102,0,4,13,76,1,6,1
"G04714",267,391,131,21,102,159,37,177,371,167,412
"G04715",58,75,169,52,199,177,87,29,131,94,117
"G04716",367,601,568,164,1780,2086,273,134,734,526,963
"G04717",423,893,346,63,686,950,88,346,745,859,1042
"G04718",0,1,7,0,15,7,5,1,4,11,8
"G04719",209,143,108,25,194,360,42,108,167,199,94
"G04720",0,0,0,0,0,0,0,0,0,0,0
"G04721",178,312,54,4,176,222,38,55,237,194,402
"G04722",85,362,126,4,291,774,7,57,428,336,668
"G04723",700,995,511,45,685,975,112,675,838,723,829
"G04724",954,871,965,887,965,1106,679,837,830,603,823
"G04725",2282,5387,5249,508,5907,10033,923,684,5771,4601,7421
"G04726",788,1391,744,157,866,1007,118,551,1256,764,1432
"G04727",777,844,691,151,832,1094,234,518,741,945,1105
"G04728",0,0,0,0,0,0,0,0,0,0,0
"G04729",0,3,0,0,0,3,0,0,0,0,0
"G04730",748,1182,485,161,792,1075,288,403,846,638,982
"G04731",0,0,0,0,0,0,0,0,0,0,0
"G04732",0,7,0,0,1,0,0,1,1,1,1
"G04733",251,593,239,0,470,605,56,163,394,299,689
"G04734",4,74,0,0,5,0,0,0,3,2,7
"G04735",0,0,0,0,0,0,0,0,0,0,2
"G04736",0,0,0,0,0,0,0,0,0,0,0
"G04737",0,0,0,0,0,0,0,0,0,0,0
"G04738",0,0,3,0,0,2,0,2,0,0,0
"G04739",0,0,0,0,0,0,0,0,0,0,0
"G04740",0,0,3,0,3,3,0,0,0,0,1
"G04741",0,0,10,0,0,0,0,0,0,0,0
"G04742",0,0,0,0,0,0,0,0,0,0,0
"G04743",0,3,0,0,10,4,0,1,1,2,0
"G04744",0,0,0,10,3,0,0,6,0,6,0
"G04745",0,0,0,0,0,0,0,0,0,0,0
"G04746",414,1178,753,333,1166,1513,244,438,684,689,1107
"G04747",0,0,0,0,0,0,0,0,0,0,0
"G04748",12,56,6,0,48,61,0,23,64,46,100
"G04749",0,0,0,0,0,0,0,0,0,0,0
"G04750",0,0,0,0,0,0,0,0,0,2,0
"G04751",83,84,45,124,466,422,552,142,119,144,94
"G04752",722,1102,729,288,1213,1664,357,491,908,808,1012
"G04753",177,222,66,0,143,366,8,58,229,179,341
"G04754",1,6,0,0,0,5,0,1,5,2,1
"G04755",0,3,0,0,0,3,0,0,2,4,12
"G04756",2764,2061,4458,4956,6441,12576,3462,1739,3238,3392,5194
