GeneID,baseMean,Log2FoldChange,lfcSE ,stat ,pvalue ,padj,comparison
Csec_G00931,24.92744228,0.125616197,1.333186642,0.094222514,0.924932401,1,Sham vs Control
Csec_G00934,1614.578649,-0.324825888,0.454099418,-0.715318882,0.474412024,1,Sham vs Control
Csec_G00935,262.5966024,1.102888504,0.635534507,1.735371552,0.082675016,1,Sham vs Control
Csec_G00936,25254.35783,0.732090305,0.590218679,1.240371292,0.214838094,1,Sham vs Control
Csec_G00937,3830.787168,0.679783739,0.562028828,1.209517563,0.226464068,1,Sham vs Control
Csec_G00938,195.6980766,-0.026973056,0.500721127,-0.05386842,0.957039998,1,Sham vs Control
Csec_G00942,51.50138027,0.430924143,0.899328016,0.479162369,0.631823123,1,Sham vs Control
Csec_G00943,131.5211639,0.61999451,0.53838611,1.151579689,0.249493831,1,Sham vs Control
Csec_G00945,7324.636734,0.12166844,0.752282419,0.161732398,0.87151659,1,Sham vs Control
Csec_G00946,199.6432995,0.545447457,0.559693765,0.974546246,0.329785389,1,Sham vs Control
Csec_G00947,831.1269333,-0.348051543,0.399239957,-0.871785344,0.383325492,1,Sham vs Control
Csec_G00948,140.7792733,0.110908205,0.60094626,0.184555945,0.853577343,1,Sham vs Control
Csec_G00950,983.1110139,-0.217258826,0.412780687,-0.526329921,0.598658997,1,Sham vs Control
Csec_G00951,528.0879696,0.164930473,0.842678533,0.195721698,0.844828,1,Sham vs Control
Csec_G00952,133.6192624,0.424333082,0.898926955,0.472044007,0.636895378,1,Sham vs Control
Csec_G00953,501.9278349,0.178554222,0.388690489,0.459373787,0.645965768,1,Sham vs Control
Csec_G00955,1684.338675,-0.069839169,0.190430489,-0.36674363,0.713810259,1,Sham vs Control
Csec_G00956,1154.839606,-0.174016558,0.67950967,-0.256091363,0.797880291,1,Sham vs Control
Csec_G00958,394.0933947,-0.351934458,0.372069046,-0.945884807,0.344207344,1,Sham vs Control
Csec_G00959,475.0944227,-0.574034845,0.360537345,-1.59216473,0.111347696,1,Sham vs Control
Csec_G00960,910.1297794,0.278505997,0.405464711,0.686880977,0.492157735,1,Sham vs Control
Csec_G00961,897.7465762,-0.070542978,0.293970423,-0.239966243,0.810356426,1,Sham vs Control
Csec_G00962,130.5583645,1.923474392,0.952875999,2.018598847,0.043528931,1,Sham vs Control
Csec_G00963,132.8824589,0.466724345,0.651375559,0.716521121,0.473669631,1,Sham vs Control
Csec_G00964,3791.624088,-0.165873973,0.216283515,-0.766928412,0.44312408,1,Sham vs Control
Csec_G00969,649.4868271,2.029585358,0.762216503,2.662741294,0.007750698,0.617059905,Sham vs Control
Csec_G00970,315.918963,-0.336451891,0.285358492,-1.179049862,0.238378321,1,Sham vs Control
Csec_G00971,1055.689269,-0.138633786,0.254543868,-0.544636128,0.586003802,1,Sham vs Control
Csec_G00972,427.5172755,1.219186798,0.68536513,1.778886531,0.075258367,1,Sham vs Control
Csec_G00973,277.8676083,-0.511645234,0.537310884,-0.952233147,0.340978754,1,Sham vs Control
