GeneID,baseMean,Log2FoldChange,lfcSE,stat,pvalue,padj
G10754,61.29820823,5.790056227,1.185732881,4.883103371,1.04E-06,0.000125737
G09855,40.32094919,5.767708886,1.29652642,4.448585696,8.64E-06,0.000560014
G05851,13.58237306,5.742377126,1.686717935,3.404467937,0.000662931,0.011691859
G01078,12.76596102,5.681978773,1.651089792,3.441350557,0.000578818,0.010756895
G02272,3.886089372,5.664201827,1.670801657,3.390110252,0.000698645,0.012050186
G06513,16.32015573,5.659222862,1.688017957,3.352584514,0.000800608,0.013313695
G07334,68.89162605,5.653798309,1.18839873,4.757492722,1.96E-06,0.000191755
G03960,37.18028717,5.618546704,1.054368883,5.328824468,9.89E-08,1.79E-05
G08928,65.47932046,5.572538618,1.463216066,3.808418146,0.000139859,0.004007574
G11942,38.61791787,5.568496084,1.338015338,4.161758036,3.16E-05,0.001481994
G09828,15.01344913,5.500302692,1.463980778,3.757086687,0.000171903,0.00465924
G01999,55.74679308,5.473994902,1.654913121,3.307723429,0.000940576,0.01477779
G09245,47.42525105,5.39951879,1.552610857,3.477702584,0.000505731,0.009818233
G14618,194.058949,5.390589443,1.128913662,4.775023659,1.80E-06,0.000182417
G08330,155.7309732,5.388496869,1.020583139,5.279821569,1.29E-07,2.22E-05
G10347,110.404612,5.384834343,0.789627352,6.819462787,9.14E-12,8.17E-09
G16887,1933.610043,5.35840365,0.91088354,5.882644068,4.04E-09,1.44E-06
G18134,23.35936705,5.352908144,0.959178956,5.580718914,2.40E-08,6.25E-06
G14102,87.43621175,5.352494541,1.089052957,4.914815674,8.89E-07,0.000110176
G04873,377.7665979,5.307876739,0.933697027,5.684795589,1.31E-08,3.73E-06
G08801,34.35249751,5.250816843,1.063914414,4.935375227,8.00E-07,0.000100172
G05167,13.46899551,5.228735991,1.607826485,3.252052408,0.001145749,0.016938687
G07162,803.9439452,5.228111499,0.841543285,6.212528329,5.21E-10,2.51E-07
G16263,22.97289845,5.202092191,1.441199796,3.609556569,0.000306721,0.006970524
G11970,28.01918006,5.201694026,0.954867626,5.447555121,5.11E-08,1.08E-05
G07377,11.50720859,5.180026597,1.717973063,3.015196635,0.002568127,0.028716102
G14872,96.15716478,5.175158704,1.471681065,3.516494726,0.000437285,0.009035584
G18125,105.9581445,5.166730296,0.905830736,5.703858447,1.17E-08,3.44E-06
G16348,91.25769461,5.157891926,1.340802526,3.84686919,0.000119637,0.003659446
G06686,9.043897346,5.141539743,1.785698,2.879288515,0.003985735,0.03865947
