GeneID,baseMean,Log2FoldChange,lfcSE,stat,pvalue,padj
G03269,32.90309195,2.453408198,0.804759844,3.048621543,0.002298939,0.026595228
G17666,90.18439806,2.445872203,0.744052156,3.287232198,0.001011774,0.015621986
G06242,492.5996539,2.437894705,0.671333676,3.631420249,0.000281866,0.006560452
G16621,49.06827206,2.43771179,0.598622296,4.072203471,4.66E-05,0.001881146
G15629,29224.58409,2.436752001,0.493289506,4.939801013,7.82E-07,9.91E-05
G17928,42.31655713,2.427535193,0.639799897,3.794210041,0.000148114,0.004186652
G05964,183.0614086,2.425036811,0.590037507,4.109970609,3.96E-05,0.001726507
G14231,1536.173716,2.424052966,0.79416066,3.052345816,0.002270603,0.026403589
G03463,317.3330939,2.416350575,0.819111098,2.949966836,0.00317808,0.033080568
G15737,95.71653001,2.416033583,0.656777927,3.678615686,0.000234503,0.005769058
G16109,118.8553334,2.390819251,0.583052796,4.100519314,4.12E-05,0.001749786
G08578,25233.86557,2.389819534,0.498071861,4.798142037,1.60E-06,0.00016711
G13884,77.72484663,2.389445795,0.823798539,2.90052201,0.003725417,0.036818996
G16546,89.60455139,2.388723658,0.585950805,4.076662475,4.57E-05,0.001863483
G02241,499.269348,2.387711258,0.62408138,3.82596138,0.000130263,0.003832818
G08377,29.39161164,2.386770048,0.542039133,4.40331685,1.07E-05,0.000654387
G06446,1815.627487,2.379585434,0.828489901,2.872196067,0.0040763,0.039199814
G15493,102.379719,2.378513163,0.677409464,3.511189744,0.000446106,0.009141237
G16759,151.6442807,2.37669956,0.725991621,3.273728637,0.001061385,0.016129443
G18369,57.33442468,2.362768119,0.641853256,3.681165589,0.00023217,0.005722903
G12646,55.73766111,2.360659194,0.486803057,4.849310537,1.24E-06,0.000140356
G04832,1168.161587,2.355041229,0.712545571,3.305109633,0.000949393,0.014878966
G09662,663.583588,2.338886565,0.604271723,3.870587483,0.000108573,0.003407408
G15794,283.9132414,2.338259993,0.838194001,2.789640571,0.005276658,0.04669542
G04924,851.8168446,2.326457782,0.680460542,3.4189459,0.000628642,0.011310141
G13121,988.3531456,2.323687144,0.724813384,3.205910921,0.001346357,0.018732308
G10171,894.2567165,2.320840492,0.526878218,4.404889804,1.06E-05,0.000652857
G03490,11.44221046,2.298517892,0.831954677,2.7627922,0.005730924,0.049466687
G09075,2523.71041,2.292397776,0.405285744,5.65625071,1.55E-08,4.21E-06
G14471,1438.083495,2.281680232,0.61949985,3.683100542,0.000230414,0.005702069
G08047,118.892146,2.280870475,0.781869126,2.917202379,0.003531865,0.035437514
G03247,37.99665878,2.279472712,0.659158412,3.458156142,0.000543886,0.01027231
G07405,197.7427266,2.277054912,0.806017541,2.825068681,0.004727048,0.043427805
G14504,732.9797936,2.275489943,0.513584861,4.43060167,9.40E-06,0.000591306
G02341,704.2996425,2.270098844,0.822831396,2.758887003,0.005799859,0.049777813
G04289,868.6384134,2.268077041,0.612709365,3.701717604,0.000214145,0.005417217
G05663,77.0492934,2.26402361,0.604612413,3.744586717,0.000180691,0.00479176
G02037,108.3440433,2.263466449,0.666222122,3.397465159,0.000680132,0.011894719
G09962,207.8698017,2.259065206,0.504650503,4.476494507,7.59E-06,0.000510356
G15197,39.91305038,2.25780772,0.590270017,3.825042194,0.00013075,0.003832818
G10023,765.8845576,2.257375269,0.673853336,3.349950425,0.00080826,0.013352289
G12682,95.01634821,2.257134977,0.719534308,3.136938646,0.001707218,0.022145675
G07208,559.2233897,2.247595739,0.71138343,3.159471592,0.001580555,0.021069906
G13164,1394.848505,2.246205579,0.705920843,3.181951066,0.001462865,0.019932535
G04827,5479.751431,2.237674638,0.627508799,3.565965354,0.000362519,0.0079025
G14193,1849.144456,2.237339536,0.513638745,4.355862086,1.33E-05,0.000771962
G08719,267.0236584,2.236287908,0.692210085,3.23064913,0.001235095,0.017841244
G17951,228.9017918,2.230628236,0.626652365,3.559594377,0.000371428,0.007991447
G00880,30.85845806,2.226760705,0.76157701,2.923881206,0.003456966,0.034797536
G17254,88.99530045,2.226034042,0.664289644,3.350999165,0.000805205,0.013325321
G17529,657.9080714,2.224319703,0.458587149,4.850375129,1.23E-06,0.000140356
G01679,1809.213792,2.223045504,0.555633688,4.000919224,6.31E-05,0.002310232
G01759,1249.961541,2.21186381,0.509343819,4.34257515,1.41E-05,0.00079771
G12248,629.4357826,2.198276395,0.59959993,3.666238578,0.000246144,0.00595023
G13929,4455.69341,2.183871892,0.725584204,3.009811792,0.002614096,0.029139402
G01342,1342.128393,2.179891386,0.439795512,4.956602158,7.17E-07,9.36E-05
G02634,2464.815173,2.175461764,0.498286321,4.365886982,1.27E-05,0.000744312
G06895,2793.157117,2.16910499,0.551751256,3.931309563,8.45E-05,0.002874766
G06116,172.8601059,2.167744659,0.556120478,3.897976688,9.70E-05,0.003130808
G02672,3553.52947,2.166512196,0.364210055,5.948523839,2.71E-09,1.06E-06
G11986,418.4335287,2.164248515,0.495345258,4.369171763,1.25E-05,0.000738175
G00422,2169.980425,2.156188915,0.491102635,4.390505695,1.13E-05,0.000687417
G13985,191.4352879,2.153292059,0.552197613,3.899495411,9.64E-05,0.003130808
G13272,419.1638038,2.151411527,0.380351874,5.656371572,1.55E-08,4.21E-06
G11553,255.7250664,2.148155545,0.717704471,2.993092047,0.002761664,0.030097095
G00628,356.6685668,2.147135548,0.623146975,3.445632627,0.000569724,0.010663809
G09479,1733.732907,2.146877802,0.528817791,4.059768487,4.91E-05,0.001946513
G02307,6085.65451,2.144999367,0.495507669,4.328892372,1.50E-05,0.000815907
G02706,12888.49321,2.139156233,0.523883713,4.08326539,4.44E-05,0.001847401
G03125,54.39065678,2.135334975,0.691148314,3.089546677,0.002004622,0.024370755
G03292,5790.387967,2.130150631,0.61991224,3.436213214,0.000589907,0.010847004
G12824,184.0301437,2.129422514,0.709136646,3.002838065,0.002674747,0.029509413
G03651,521.347474,2.119409816,0.510061032,4.155208266,3.25E-05,0.001501676
G13037,937.6506062,2.114356356,0.542427471,3.897952206,9.70E-05,0.003130808
G17974,83.19823052,2.113646139,0.649137327,3.256084733,0.0011296,0.016819091
G15427,960.1463722,2.101042332,0.729478071,2.880199442,0.003974237,0.038637728
G09058,33.73097077,2.100500335,0.676051754,3.107011147,0.001889893,0.023712662
G17987,63.6199822,2.097682184,0.573204544,3.659570055,0.000252639,0.006060427
G10816,140.6670946,2.090964506,0.408270504,5.121517437,3.03E-07,4.87E-05
G17633,14752.10248,2.088765548,0.319119855,6.545395137,5.93E-11,3.82E-08
G11686,2201.82603,2.088361657,0.515446723,4.051556767,5.09E-05,0.001996845
G02622,2515.129572,2.086197597,0.625516185,3.335161659,0.000852498,0.013851733
G13105,778.7355627,2.079175377,0.417595635,4.978920279,6.39E-07,8.52E-05
G14850,5062.322291,2.077710183,0.696861597,2.981524872,0.002868167,0.030828492
G09656,1104.144768,2.072538871,0.580132242,3.57252833,0.000353551,0.00775336
G09789,65.8790125,2.061717229,0.659649554,3.125473544,0.00177519,0.022666126
G01394,1037.138508,2.05377816,0.455688293,4.506980296,6.58E-06,0.000462588
G11110,322.9733519,2.045383471,0.530642604,3.854540619,0.000115947,0.003558554
G08682,2740.403083,2.030460274,0.493035683,4.118282603,3.82E-05,0.001690847
G02023,3980.650543,2.027792872,0.534403602,3.794497016,0.000147943,0.004186652
G16423,1093.034955,2.022489941,0.556645253,3.633355228,0.000279759,0.006535723
G15039,183.8430862,2.019517255,0.364416544,5.541782573,2.99E-08,7.65E-06
G05256,1061.090844,2.019106614,0.613036066,3.293617987,0.000989068,0.015366144
G11868,29.56479759,2.018787033,0.684999432,2.947136797,0.003207313,0.033260186
G08537,72.60732785,2.018023993,0.539305702,3.741892561,0.00018264,0.004824922
G04385,118.6352635,2.017868875,0.626095646,3.222940276,0.00126882,0.018137174
G03735,66.11724596,2.017378662,0.533611268,3.780614806,0.000156442,0.004373929
G13640,66.6444974,2.009811554,0.547213095,3.672813341,0.000239895,0.005844283
G05266,5771.484222,2.001255406,0.672521492,2.975749369,0.002922736,0.031200769
G00631,4037.968998,1.987923712,0.57207948,3.474908261,0.000511028,0.009890408
G15630,5490.601709,1.984661234,0.480870344,4.127227343,3.67E-05,0.00165382
G00378,11280.73053,1.984017041,0.518756758,3.824561339,0.000131005,0.003832818
G11627,2192.702425,1.976413381,0.550094094,3.592864211,0.000327063,0.007339576
G14565,2143.341937,1.9761962,0.55433969,3.564955271,0.000363918,0.007911431
G16117,621.0948971,1.973594479,0.707346208,2.790139336,0.005268536,0.04669542
G13098,1173.620823,1.970915891,0.65128867,3.026178686,0.002476659,0.02790913
G18084,278.6648849,1.969957703,0.603358263,3.264988357,0.001094686,0.016475547
G16807,334.7116049,1.967875638,0.42420391,4.638985144,3.50E-06,0.000281042
G14678,4316.758075,1.964805038,0.423914842,4.634905039,3.57E-06,0.000284817
G18844,164.7146546,1.962591705,0.664670306,2.952729629,0.003149777,0.032895336
G13258,157.8530902,1.954702963,0.529024461,3.694919813,0.000219956,0.005519622
G02019,1595.925697,1.951856228,0.475344785,4.106190478,4.02E-05,0.001730867
G04295,218.9018729,1.950487599,0.466988805,4.176733101,2.96E-05,0.001428374
G07409,5702.387764,1.947457447,0.500120015,3.893980221,9.86E-05,0.003134082
G05126,466.1388617,1.943889415,0.29716765,6.541389728,6.09E-11,3.82E-08
G10193,1448.430826,1.943686447,0.585551592,3.319411089,0.000902075,0.01444474
G14681,2146.928077,1.938592487,0.513126866,3.777998416,0.000158094,0.004399226
G10138,241.5215818,1.932869185,0.686642937,2.814955317,0.004878402,0.044394873
G10036,39.87679303,1.92920378,0.601977168,3.204778991,0.001351662,0.018785255
G09238,57.74122886,1.9273009,0.549374303,3.508174462,0.000451193,0.009141237
G15891,3876.848249,1.926962757,0.548007833,3.516305135,0.000437598,0.009035584
G03182,138.1564829,1.925476377,0.603319598,3.191469965,0.001415508,0.019520739
G05991,854.2341517,1.924570011,0.494096427,3.895130392,9.81E-05,0.003131768
G04550,5301.54492,1.918395793,0.488099028,3.93034135,8.48E-05,0.002876386
G09302,40.02638052,1.910613846,0.687931552,2.777331321,0.005480728,0.04799278
G09503,686.7089367,1.902943634,0.665350551,2.860061709,0.004235586,0.040192903
G11759,2060.691279,1.902316362,0.613208888,3.102232209,0.001920672,0.023895661
G09028,3638.166362,1.89311744,0.437299046,4.329114038,1.50E-05,0.000815907
G05479,655.4350904,1.888758266,0.603907707,3.127561125,0.001762632,0.022591989
G09929,1514.847089,1.884837486,0.399023242,4.723628323,2.32E-06,0.000210255
G01942,397.4708665,1.883344639,0.638200276,2.951024482,0.003167218,0.03299493
G00956,1154.839606,1.877144209,0.62895043,2.984566224,0.002839807,0.030655229
G13103,287.8998159,1.875233236,0.653784351,2.868274886,0.004127168,0.039541236
G15665,1559.056723,1.872159504,0.626630919,2.987658999,0.00281123,0.030521815
G06975,2205.019797,1.872091204,0.663569877,2.821241996,0.00478381,0.043756662
G17720,181.6662427,1.860791342,0.592840498,3.138772317,0.001696572,0.022106635
G06043,710.4459013,1.855902976,0.574541864,3.230231066,0.001236902,0.01784388
G02413,2561.912386,1.851100616,0.52808195,3.505328323,0.000456045,0.009166275
G15124,2512.562665,1.849354388,0.311771258,5.93176677,3.00E-09,1.14E-06
G13821,284.9369947,1.836568657,0.505384436,3.634003197,0.000279057,0.006531508
G16585,255.2323442,1.83231466,0.604637424,3.030435408,0.002442014,0.027673214
G00658,3725.835237,1.828190421,0.375818508,4.864556652,1.15E-06,0.000134247
G14598,341.5492362,1.824026465,0.515515486,3.538257363,0.000402777,0.008548436
G06778,735.4519594,1.823893736,0.572099776,3.188069305,0.001432262,0.019686921
G02477,1084.714253,1.821784957,0.566892214,3.213635522,0.001310659,0.018468102
G09877,4818.816821,1.819912967,0.404120263,4.503394493,6.69E-06,0.000467837
G07484,35.62546886,1.817692207,0.549813303,3.306017148,0.000946323,0.014849444
G13734,1785.374481,1.815473251,0.436331442,4.160766512,3.17E-05,0.001481994
G08206,92.47791374,1.814697692,0.494381226,3.670644425,0.00024194,0.005871258
G04912,639.4994796,1.812566725,0.585795843,3.094195264,0.001973476,0.024132736
G02314,328.0780874,1.809579826,0.547965663,3.302359887,0.00095875,0.014969407
G11971,1164.379742,1.809375655,0.464402755,3.896134626,9.77E-05,0.003131768
G00689,32.16021578,1.807842607,0.584127778,3.094943732,0.001968502,0.024132736
G05158,1229.053379,1.802897732,0.517106036,3.486514575,0.000489359,0.009634827
G03837,751.5420806,1.800020862,0.479689494,3.752470887,0.0001751,0.00470516
G12797,138.9746592,1.799993412,0.513479143,3.505484959,0.000455776,0.009166275
G17414,2821.575639,1.795342532,0.458596922,3.914859537,9.05E-05,0.002980791
G06098,69.37414673,1.788781294,0.606505461,2.9493243,0.003184696,0.033094409
G06088,2289.282507,1.788600851,0.444183769,4.026713663,5.66E-05,0.00214437
G13995,164.5701104,1.785661735,0.475121636,3.758325443,0.000171054,0.004646295
G16194,3403.987179,1.780647257,0.43483884,4.094959082,4.22E-05,0.001780245
G09474,423.5961191,1.778920351,0.605531989,2.937780966,0.003305705,0.033874006
G09874,62.38977017,1.776583492,0.618590568,2.871986067,0.00407901,0.039199814
G08853,223.4899318,1.775667313,0.510837795,3.475990483,0.00050897,0.009865831
G05471,1644.360504,1.771040114,0.582555865,3.040120648,0.002364834,0.02701866
G13556,799.8086965,1.766293395,0.482140049,3.663444676,0.000248846,0.006003949
G06119,154.9760271,1.765538171,0.591919627,2.982732941,0.002856872,0.030786356
G06205,6062.728096,1.765446543,0.382868285,4.611106777,4.01E-06,0.000309595
G04090,448.0372223,1.76318472,0.531669428,3.316317676,0.000912121,0.014568338
G15922,611.7104302,1.762081995,0.549232136,3.208264556,0.001335386,0.018662615
G04770,411.9448668,1.761470013,0.484559735,3.635196835,0.000277768,0.006513515
G08485,308.5600891,1.761373593,0.502436515,3.505663984,0.00045547,0.009166275
G13216,5219.748606,1.758001203,0.547735299,3.209581721,0.001329283,0.018603909
G16637,2844.614054,1.757744698,0.426666135,4.119719266,3.79E-05,0.0016904
G13822,965.5769223,1.756343061,0.40291272,4.359115452,1.31E-05,0.00076413
G08529,3091.110515,1.755143903,0.420968163,4.16930318,3.06E-05,0.001454706
G12629,9088.954611,1.751145207,0.394617458,4.437576626,9.10E-06,0.000578283
G14174,8915.878746,1.749624254,0.408451258,4.28355702,1.84E-05,0.000971797
G05775,269.0712648,1.748113797,0.633903101,2.757698763,0.005820981,0.04989071
G06435,259.1369799,1.744502461,0.632791013,2.756838237,0.005836322,0.049987975
G03863,3601.268325,1.744491282,0.572838412,3.045346203,0.002324126,0.026732862
G10751,261.7987337,1.743075419,0.538546859,3.236627211,0.001209513,0.017611072
G13368,246.5269417,1.742219252,0.445587502,3.909937429,9.23E-05,0.003034203
G07054,1601.57783,1.740215006,0.453181241,3.839997884,0.000123035,0.003712407
G04152,216.2581504,1.735968147,0.562856279,3.084212099,0.00204092,0.024692179
G03392,447.1244264,1.732910902,0.594428641,2.915254719,0.003553983,0.035545512
G08845,389.2517142,1.732625478,0.548840113,3.15688565,0.001594639,0.021143856
G00389,1842.742659,1.732091241,0.62634299,2.765403728,0.005685238,0.049299355
G16297,144.8477133,1.730355095,0.375506584,4.608055276,4.06E-06,0.000312245
G09217,1010.893422,1.725198812,0.401635633,4.295432653,1.74E-05,0.000929042
G04174,2835.949401,1.723521685,0.436893053,3.944950996,7.98E-05,0.002753333
G05899,102.5763363,1.721127531,0.499818039,3.443508229,0.000574219,0.010731898
G17224,9849.982241,1.719863379,0.425987948,4.037352202,5.41E-05,0.00207642
G13971,66.15808967,1.716295384,0.448625748,3.825672939,0.000130415,0.003832818
G04996,19176.55659,1.715474689,0.297971034,5.757186083,8.55E-09,2.75E-06
G07667,1114.545488,1.714380151,0.499739192,3.43054973,0.00060236,0.010979252
G15730,1203.384253,1.711064369,0.487454812,3.510200997,0.000447768,0.009141237
G10528,712.5748083,1.706704092,0.556234661,3.068316689,0.002152684,0.025619532
G11324,630.0355957,1.700932244,0.54936826,3.096160389,0.001960443,0.024114603
G03478,490.8247639,1.700602637,0.539698434,3.151023847,0.001626992,0.021513405
G05466,139.9062905,1.700539236,0.501094476,3.393649933,0.000689678,0.011944878
G09660,147.2084256,1.687654201,0.417794036,4.039440624,5.36E-05,0.002070723
G02823,691.5028886,1.686644031,0.442993419,3.807379433,0.000140447,0.00401525
G00834,120.0709121,1.68001936,0.542269412,3.098126729,0.001947481,0.02403784
G18315,2212.334886,1.679548896,0.599112979,2.803392606,0.005056807,0.045359124
G03150,237.8543886,1.677543436,0.538653657,3.114326643,0.001843653,0.023225571
G08548,2495.953834,1.673205593,0.48621762,3.441268935,0.000578993,0.010756895
G00936,25254.35783,1.669756082,0.546409355,3.055870232,0.002244084,0.026164259
G17892,174.2202078,1.664777417,0.601352699,2.768387706,0.00563344,0.048953456
G08121,159.6059138,1.664454682,0.47327845,3.51686134,0.000436682,0.009035584
G02851,62.47636475,1.662962174,0.529073123,3.143161317,0.001671337,0.021846999
G15679,412.2885222,1.658229412,0.566691918,2.926156806,0.003431779,0.034655434
G06485,71.55738335,1.657671858,0.489535312,3.386215084,0.000708638,0.012205732
G11097,114.132396,1.65474676,0.540021135,3.064225924,0.00218234,0.025829174
G09576,422.3559373,1.651357249,0.471642896,3.501287233,0.000463017,0.009276629
G09476,1199.252169,1.648864232,0.451268219,3.653845237,0.000258342,0.006150112
G17314,112.2770855,1.646054416,0.459567166,3.581749387,0.000341301,0.007564199
G04471,390.9280738,1.643395317,0.589647934,2.787078905,0.005318553,0.046900646
G12658,109.7541582,1.640005286,0.543656498,3.016620405,0.002556097,0.028654829
G14813,2886.694998,1.638731918,0.451713168,3.627815247,0.00028583,0.006615821
G05894,722.4575518,1.632846448,0.407435524,4.007619249,6.13E-05,0.002265555
G13870,2976.639437,1.631195977,0.506437344,3.220923566,0.001277782,0.018161622
G16316,738.1906707,1.630994399,0.485319792,3.36065915,0.000777567,0.013009849
G15570,55.19805218,1.630257316,0.521836644,3.124075962,0.001783644,0.022674914
G04401,1638.371107,1.627352648,0.390937803,4.162689392,3.15E-05,0.001481994
G11349,696.1083636,1.627098978,0.34141686,4.765725335,1.88E-06,0.000185834
G16013,3466.093523,1.625429093,0.362773161,4.480566011,7.44E-06,0.000506633
G04583,209.0522713,1.624808697,0.342577591,4.742892534,2.11E-06,0.000199866
G04870,1212.754487,1.62210292,0.484669793,3.346820751,0.00081744,0.013450599
G10826,6202.87945,1.620542903,0.382694471,4.234560533,2.29E-05,0.001165661
G13301,10318.81532,1.614352832,0.466627538,3.459617572,0.000540943,0.010232159
G03169,1172.518039,1.610019804,0.434850256,3.702469482,0.000213511,0.005412116
G10442,6070.502185,1.609440187,0.58281281,2.761504483,0.005753573,0.049550369
G10245,187.8188169,1.606330111,0.436198481,3.682566953,0.000230897,0.005702751
G18306,6197.10465,1.601437018,0.297115641,5.389945179,7.05E-08,1.36E-05
G17847,152.3087536,1.601232021,0.533514132,3.001292611,0.002688361,0.0296335
G18351,64.65372049,1.600343637,0.577165942,2.772761732,0.00555828,0.04849276
G01926,865.5147901,1.599226511,0.573262756,2.789691976,0.005275821,0.04669542
G09103,1414.801876,1.597624588,0.478991112,3.335395063,0.000851783,0.013851733
G11346,236.4255828,1.59643499,0.576363486,2.76984061,0.005608373,0.048769477
G14665,8937.736529,1.596309868,0.368682798,4.329764983,1.49E-05,0.000815907
G07489,2827.024786,1.593753207,0.391100479,4.07504796,4.60E-05,0.001864314
G02661,136.3173212,1.592603671,0.538279591,2.95869228,0.003089474,0.032545662
G03672,1841.940975,1.590346439,0.527328793,3.015853602,0.00256257,0.028701696
G10501,1685.316381,1.588068352,0.426510869,3.723394804,0.000196562,0.005117145
G09309,2178.31977,1.588058059,0.43973628,3.611387397,0.000304563,0.006959383
G07058,6626.212033,1.583038399,0.508406461,3.113725969,0.00184741,0.023249514
G09094,2823.227376,1.582361918,0.534527436,2.960300653,0.003073389,0.032504209
G05432,296.5150413,1.576255155,0.384295719,4.101672425,4.10E-05,0.001747009
G05933,6557.865988,1.5743255,0.50381834,3.124787992,0.001779333,0.022666126
G13493,6308.320768,1.573035528,0.439446433,3.579584245,0.000344141,0.007586861
G10010,1772.454859,1.571483004,0.387978492,4.050438453,5.11E-05,0.001996845
G12211,3001.251886,1.568382003,0.397502177,3.945593491,7.96E-05,0.002753333
G08671,112.6802301,1.566016449,0.424813122,3.686365527,0.00022748,0.00566302
G02304,330.307251,1.562420384,0.565297296,2.763891487,0.005711653,0.049393176
G10058,436.515758,1.558029402,0.346934896,4.490840841,7.09E-06,0.0004881
G10533,105.8595281,1.557258383,0.346369432,4.495946351,6.93E-06,0.000481827
G01550,1178.829269,1.557079844,0.319313228,4.876339928,1.08E-06,0.000128884
G14856,1045.439873,1.550460098,0.5472745,2.833057446,0.00461051,0.042638704
G02953,125.2590031,1.550159056,0.320330407,4.839250424,1.30E-06,0.000144019
G04387,490.9751858,1.545664365,0.46265269,3.340874045,0.000835151,0.013688169
G04438,361.4555435,1.54518038,0.538117097,2.871457513,0.004085837,0.039235315
G13116,662.725058,1.54302606,0.404632821,3.813398177,0.000137069,0.003954788
G11609,2904.391174,1.542655699,0.420161605,3.671577035,0.000241058,0.00586123
G12611,233.3139101,1.541903631,0.450952193,3.419217503,0.000628015,0.011310141
G14559,149.4748069,1.538078102,0.469631676,3.275073167,0.001056346,0.016119404
G04938,1677.889024,1.537132682,0.460706674,3.33646715,0.000848505,0.013851733
G16638,283.848554,1.533409934,0.52156111,2.940038864,0.003281711,0.033710275
G11070,436.5934884,1.52435288,0.373258121,4.083910825,4.43E-05,0.001847401
G18245,2255.942758,1.522419919,0.402306567,3.784228354,0.000154186,0.004328968
G17275,2520.782064,1.520044057,0.386792356,3.929870983,8.50E-05,0.002876386
G08315,11929.02903,1.51803245,0.443439093,3.423316695,0.00061862,0.011178001
G06316,1451.439652,1.515839645,0.42055556,3.604374282,0.000312906,0.007085366
G04872,162.5117971,1.514660517,0.516219639,2.934139663,0.003344737,0.034134305
G14654,354.5016696,1.51080135,0.525094105,2.877201126,0.004012198,0.03882592
G01685,433.3951003,1.510363664,0.500098575,3.02013191,0.002526646,0.028350057
G11450,345.7537862,1.510217813,0.449410556,3.360441341,0.000778181,0.013009849
G15133,367.6319473,1.507270525,0.430947166,3.497576138,0.000469507,0.009376655
G15116,3605.934838,1.506194284,0.375642479,4.009648451,6.08E-05,0.002252819
G08495,6050.030695,1.50309374,0.355842603,4.224040984,2.40E-05,0.001206741
G14747,7523.568061,1.501414575,0.349406714,4.297039859,1.73E-05,0.000926275
G04668,8188.910513,1.500541889,0.394612134,3.802574125,0.0001432,0.004084636
G00937,3830.787168,1.49949668,0.520190558,2.882591115,0.00394419,0.038465073
G01915,2207.511549,1.498803944,0.529878845,2.828578567,0.004675522,0.043112585
G14306,90.26610598,1.496210735,0.519109013,2.882266918,0.003948251,0.038474709
G16425,483.8670028,1.485359031,0.465461313,3.191154642,0.001417054,0.019520739
G15259,4467.823693,1.483273597,0.43975088,3.372986083,0.000743577,0.012620328
G15026,1967.046327,1.483147405,0.516011698,2.874251517,0.004049863,0.039009527
G04040,1444.694425,1.482411287,0.423591662,3.499623384,0.000465916,0.009319807
G04579,207.4283958,1.479498603,0.450743989,3.282347938,0.001029465,0.015856039
G11356,2463.752835,1.473778793,0.402372209,3.662725106,0.000249546,0.006009267
G02705,13784.21229,1.471917498,0.374617136,3.929124853,8.53E-05,0.002877548
G03944,291.5193124,1.469929595,0.417815686,3.518129273,0.000434601,0.009024989
G16302,792.0860528,1.468537535,0.523183869,2.806924335,0.005001699,0.044961431
G09046,118.400965,1.467513937,0.491673534,2.984732416,0.002838265,0.030655229
G03161,1076.64816,1.467208207,0.487519234,3.009539123,0.002616444,0.029139402
G06612,1809.13939,1.465415044,0.457042119,3.206301961,0.001344528,0.018729814
G11712,1842.56196,1.463304558,0.359075351,4.075201913,4.60E-05,0.001864314
G12165,806.5945274,1.461842675,0.388032484,3.767320355,0.000165009,0.004520519
G02275,940.3245536,1.455855749,0.496709703,2.930999212,0.003378736,0.03427166
G15227,427.6116874,1.446576593,0.433588616,3.336288219,0.000849051,0.013851733
G03011,803.3047016,1.443650905,0.510755193,2.826502644,0.004705936,0.043297373
G05150,829.6071036,1.443089376,0.479204593,3.011426429,0.002600234,0.029019724
G05451,306.0025596,1.436804391,0.364673498,3.939974801,8.15E-05,0.002788032
G11566,459.9287989,1.433877117,0.249017574,5.758136247,8.50E-09,2.75E-06
G16844,1126.437335,1.42844698,0.476985929,2.994736099,0.002746824,0.030039937
G07810,34213.83219,1.428361479,0.328869113,4.343252142,1.40E-05,0.00079771
G02954,107.9665932,1.427645727,0.436010986,3.274334304,0.001059112,0.016119404
G14603,1139.698371,1.422048543,0.508447397,2.796844967,0.005160429,0.046057655
G10415,1942.177969,1.416998685,0.371451063,3.814765459,0.000136312,0.003942039
G01637,4559.468519,1.416936592,0.303832413,4.663546521,3.11E-06,0.000256047
G08857,1440.415361,1.411865864,0.388761864,3.631698464,0.000281562,0.006560452
G16010,556.1451063,1.410414201,0.500741357,2.816652114,0.004852706,0.044225314
G02912,5879.882093,1.409351769,0.324324821,4.345494629,1.39E-05,0.00079771
G18397,184.6194967,1.409187255,0.396838037,3.551038773,0.000383714,0.008213445
G01856,1778.859337,1.408868426,0.458687749,3.071519629,0.002129722,0.025490118
G05897,1890.844241,1.408781547,0.435052389,3.23818828,0.001202914,0.017535377
G04724,964.8074859,1.405912014,0.365504579,3.846496306,0.000119819,0.003659446
G10106,3051.260065,1.397442446,0.371165022,3.765016541,0.000166538,0.004543332
G06644,1432.230496,1.39563101,0.443495363,3.146889746,0.001650172,0.021659801
G15417,529.0777156,1.392339436,0.479272327,2.905111268,0.003671226,0.036398327
G15040,264.0767016,1.386115625,0.435588624,3.182166728,0.001461776,0.019932535
G11002,7031.4632,1.376488657,0.39681398,3.468851215,0.000522689,0.010053932
G16184,2925.177444,1.373148314,0.465188101,2.951813064,0.003159141,0.032939166
G04445,2928.553381,1.371271917,0.402174295,3.409645856,0.000650473,0.01153714
G11557,10897.81129,1.370079138,0.321838153,4.257043878,2.07E-05,0.00106745
G10504,993.0743444,1.368909393,0.311602328,4.393129545,1.12E-05,0.000682483
G03695,1485.738917,1.368281765,0.349437422,3.915670383,9.02E-05,0.002978629
G17384,169.5008058,1.361561837,0.352708374,3.860304826,0.000113246,0.003492764
G17385,485.3692878,1.361540446,0.391049913,3.481756166,0.000498137,0.00970089
G12107,56.29570104,1.35246695,0.459442088,2.943715834,0.003242976,0.033533069
G04662,1253.117131,1.350092073,0.38211487,3.53320998,0.000410546,0.008669242
G01640,7527.911397,1.34736651,0.385875856,3.491709801,0.000479939,0.009494156
G15637,1149.586708,1.345886397,0.394101536,3.415075236,0.000637644,0.011380644
G05916,11187.95272,1.344819969,0.361177643,3.723430827,0.000196534,0.005117145
G15130,538.0507261,1.344211079,0.436671514,3.078311808,0.00208177,0.025066561
G04319,69.78389891,1.336184436,0.473739418,2.820505085,0.004794811,0.04379331
G10191,8992.401082,1.334091961,0.306802365,4.348375741,1.37E-05,0.000791422
G09318,299.5034557,1.33341877,0.437258709,3.049496198,0.002292255,0.026552841
G03507,246.2865558,1.332462565,0.45036784,2.958609487,0.003090304,0.032545662
G05382,197.0320125,1.33188319,0.306705516,4.342547241,1.41E-05,0.00079771
G08938,1289.414596,1.327556115,0.415116792,3.198030387,0.001383697,0.019145474
G17967,5936.498075,1.32664635,0.332708306,3.987415787,6.68E-05,0.00241743
G10925,168.4662202,1.319939923,0.372382631,3.544579727,0.00039324,0.008388664
G13497,803.7358057,1.318874765,0.443051692,2.976796589,0.002912772,0.03112093
G13681,245.7342781,1.316861366,0.452925793,2.907455012,0.003643828,0.036212705
